lat,lon,flood_heig,elevation,precipitat,distance_to_river_deg,distance_to_river_m
14.64039374,121.0557085,0,54.5532951355,9.0,0.008930407520758217,991.2752348041621
14.69829935,121.0021322,0,21.8562717438,10.0,0.006236459972003478,692.2470568923861
14.69885841,121.1002614,0,69.322807312,16.0,0.002999357674585765,332.9287018790199
14.57131006,120.9833345,0,10.9872407913,8.0,0.00877253948783204,973.7518831493564
14.7622323,121.0757349,0,87.8898468018,16.0,0.06433948713146521,7141.683071592639
14.6011784,121.0885987,0,14.4637336731,11.0,0.0013863309411454457,153.88273446714447
14.70803089,121.052674,0,45.0005531311,12.0,0.00834623062071153,926.4315988989799
14.70920612,121.0502922,0,43.226852417,13.0,0.009146012359513815,1015.2073719060335
14.70962531,121.0470059,0,43.1831130981,12.0,0.01008309036674936,1119.2230307091788
14.66933825,121.1328981,0,48.2762107849,16.0,0.03386413926446409,3758.919458355514
14.72701256,121.0465953,0,53.3076515198,13.0,0.027191589726264575,3018.2664596153677
14.6467477,121.0628002,0,62.1015319824,10.0,0.004732241659081671,525.2788241580655
14.685377,121.097061,0,82.2314758301,15.0,0.005453417931898084,605.3293904406873
14.39827,121.027496,0,37.0790176392,10.0,0.003149978991991863,349.6476681110968
14.630796,121.072151,0,52.1958312988,10.0,0.003341741571403261,370.933314425762
14.630796,121.072144,0,52.1958312988,10.0,0.003337135677493113,370.4220602017355
14.630767,121.072205,0,52.1958312988,10.0,0.0033991958946206486,377.310744302892
14.732137,121.05455,0,69.5092391968,14.0,0.03237037896364617,3593.1120649647246
14.61853,121.058342,0,51.159576416,9.0,0.0035797560956227687,397.35292661412734
14.636256,121.082314,0,36.8361244202,11.0,0.0022295405289000413,247.4789987079046
14.636267,121.082298,0,36.8361244202,11.0,0.002225087856692942,246.98475209291655
14.655506,121.086761,0,38.0961227417,12.0,0.003625306289129331,402.40899809335576
14.620814,121.04863,0,41.8438415527,9.0,0.006275028034994446,696.5281118843835
14.625777,121.010796,0,14.0821800232,8.0,0.004315884777191065,479.0632102682082
14.627915,121.013458,0,17.3416099548,8.0,0.0022170274626139843,246.09004835015227
14.630739,121.01638,0,15.0720682144,8.0,0.001181670408888707,131.1654153866465
14.632337,121.01889,0,18.1897277832,8.0,0.0019289928797187655,214.11820964878297
14.633064,121.020218,0,20.2778568268,8.0,0.0025162744782732836,279.3064670883345
14.632171,121.020737,0,21.9754295349,8.0,0.003380012344652561,375.1813702564343
14.628372,121.033974,0,31.1722774506,8.0,0.0023389078236852458,259.6187684290623
14.626919,121.033798,0,30.3964977264,8.0,0.0008798566510178342,97.66408826297959
14.621645,121.024658,0,23.3781356812,8.0,0.0032948461952001956,365.7279276672217
14.622268,121.026466,0,27.1499156952,8.0,0.002723353082139508,302.29219211748534
14.622911,121.02906,0,29.5121612549,8.0,0.003295064906792335,365.7522046539492
14.623846,121.033134,0,30.462228775,8.0,0.002155801583287213,239.29397574488064
14.630303,121.025757,0,28.5100765228,8.0,0.003402677982116613,377.69725601494406
